Key,Id,English(en),Hindi(hi)
Start,1.29E+11,Start,स्टार्ट
This is a question,2.77E+11,This is a question,यह एक सवाल है
Continue,2.78E+11,Continue,कंटिन्यू
PLUMBING,2.79E+11,PLUMBING,प्लंबिंग
QUIZ,2.82E+11,QUIZ,क्विज
"This simulation is a training tool designed for educational purposes only and does not replace professional plumbing certification or hands - on experience under expert supervision. 

While the steps demonstrated align with standard installation procedures, always refer to the manufacturer guidelines and local plumbing codes when performing actual installations.",5.06E+11,"This simulation is a training tool designed for educational purposes only and does not replace professional plumbing certification or hands on experience under expert supervision. 

While the steps demonstrated align with standard installation procedures, always refer to the manufacturer guidelines and local plumbing codes when performing actual installations.","यह सिमुलेशन केवल शैक्षिक उद्देश्यों के लिए डिज़ाइन किया गया एक प्रशिक्षण उपकरण है और विशेषज्ञ पर्यवेक्षण के तहत अनुभव पर पेशेवर प्लंबिंग प्रमाणीकरण या हाथों को प्रतिस्थापित नहीं करता है। 

जबकि चरणों ने मानक स्थापना प्रक्रियाओं के साथ संरेखित किया, हमेशा वास्तविक प्रतिष्ठानों का प्रदर्शन करते समय निर्माता दिशानिर्देशों और स्थानीय प्लंबिंग कोड को देखें। "
Next,5.07E+11,Next,नेक्स्ट
DISCLAIMER,5.08E+11,DISCLAIMER,डिस्क्लेमर
"At the end of the simulation, you will be able to: 

-> 	Demonstrate the step-by-step process of installing a 				sensor faucet.

-> 	Troubleshoot common issues like leaks, sensor  					malfunctions and power failures.",5.18E+11,"At the end of the simulation, you will be able to: 

-> 	Demonstrate the step-by-step process of installing a 				sensor faucet.

-> 	Troubleshoot common issues like leaks, sensor  					malfunctions and power failures.","सिमुलेशन के अंत में, आप ये कर पाएंगे

-> एक सेंसर फॉसेट को इंस्टॉल करने की चरण दर चरण प्रक्रिया दिखाना।

-> सामान्य समस्याओं जैसे लीक, सेंसर में गड़बड़ी और पावर फेल्योर को हल करना।"
OBJECTIVES,5.19E+11,OBJECTIVES,ओब्जेक्टिवेस
PAUSED,8.59E+11,PAUSED,पॉज्ड
RESTART,8.61E+11,RESTART,रीस्टार्ट
SETTINGS,8.62E+11,SETTINGS,सेटिंग्स
Sound FX,8.64E+11,Sound FX,साउंड
Music,8.65E+11,Music,म्यूजिक
English,8.65E+11,English,अंग्रेज़ी
Volume,8.66E+11,Volume,वॉल्यूम
Language,8.67E+11,Language,लैंग्वेज
Option A,8.69E+11,Option A,विकल्प ए
Hindi,8.71E+11,Hindi,हिंदी
Client's tattoo selection,9.36E+11,Client's tattoo selection,ग्राहक का टैटू चयन
Select a tattoo,9.37E+11,Select a tattoo,एक टैटू का चयन करें
Troubleshoot a sensor faucet,9.38E+11,Troubleshoot a sensor faucet,एक सेंसर फॉसेट का निवारण करें
Install a sensor faucet,9.38E+11,Install a sensor faucet,एक सेंसर फॉसेट इंस्टॉल करें
Back,9.39E+11,Back,बैक
Select Module,9.41E+11,Select Module,मॉड्यूल चुने
Install a sensor faucet  Troubleshoot a sensor faucet,9.41E+11,Install a sensor faucet  Troubleshoot a sensor faucet,"एक सेंसर फॉसेट इंस्टॉल करें,  एक सेंसर फॉसेट का निवारण करें"
Progress,9.84E+11,Progress,प्रोग्रेस
Approach the Wash basin,9.93E+11,Approach the Wash basin,वॉश बेसिन के पास पहुंचें
Locate the Wash basin area,9.93E+11,Locate the Wash basin area,वॉश बेसिन क्षेत्र का पता लगाएँ
Let us get into the Sensor faucet installation Simulation. Click on the indicated area to reach the washbasin area.,9.94E+11,Let us get into the Sensor faucet installation Simulation. Click on the indicated area to reach the washbasin area.,"आइए, हम सेंसर नल इंस्टॉलेशन सिमुलेशन शुरू करते हैं।  वॉशबेसिन क्षेत्र तक पहुँचने के लिए दिए गए क्षेत्र पर क्लिक करें।"
Why are sensor faucets considered more hygienic compares to traditional faucets?,1.01E+12,Why are sensor faucets considered more hygienic compares to traditional faucets?,सेंसर फॉसेट पारंपरिक  फॉसेट की तुलना में अधिक स्वच्छ क्यों माने जाते हैं?
b) They do not require direct contact to operate.,1.01E+12,b) They do not require direct contact to operate.,बी) इन्हें चलाने के लिए सीधे संपर्क की आवश्यकता नहीं होती है।
c) They use advanced cleaning solutions.,1.01E+12,c) They use advanced cleaning solutions.,सी) ये उन्नत सफाई समाधानों का उपयोग करते हैं।
a) They are easier to clean.,1.01E+12,a) They are easier to clean.,ए) इन्हें साफ करना आसान होता है।
d) They are made of antibacterial materials.,1.01E+12,d) They are made of antibacterial materials.,डी) ये एंटीबैक्टीरियल सामग्री से बने होते हैं।
"Sorry, that answer is incorrect!",1.03E+12,"Sorry, that answer is incorrect!","माफ़ कीजिए, यह उत्तर गलत है!"
Not quite. Think about what makes sensor faucet different in terms of usage and hygiene.,1.03E+12,Not quite. Think about what makes sensor faucet different in terms of usage and hygiene.,"सही जवाब नहीं है। सोचिए, सेंसर फॉसेट को इस्तेमाल और स्वच्छता के हिसाब से क्या अलग बनाता है।
"
Retry,1.03E+12,Retry,रीट्राई
